format,file_path,symbol_name,current_location,inferred_domain,inferred_qname,source_fact_ref,public_api_impact,tests_existing,tests_needed,migration_status,reviewer_verdict,notes
abw,src/python/abw/__init__.py,abw_all_words_unique,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_avg_word_length_per_para,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_avg_word_per_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_capital_word_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_consonant_ratio,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_digit_ratio,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_has_multi_para,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_is_empty_document,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_lowercase_ratio,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_max_paragraph_words,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_max_word_count_para,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_short_paragraph_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_short_word_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_space_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_total_word_length,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_unique_words_per_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_min_word_count_para,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_numeric_char_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_para_char_variance,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_text_density,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_total_para_char_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_uppercase_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_digit_char_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_nonempty_para_ratio,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_numeric_word_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,get_paragraph_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,extract_text,src/python/abw/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
abw,src/python/abw/__init__.py,create_abw,src/python/abw/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
abw,src/python/abw/__init__.py,write_abw,src/python/abw/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
abw,src/python/abw/__init__.py,probe_abw,src/python/abw/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
abw,src/python/abw/__init__.py,export_to_txt,src/python/abw/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
abw,src/python/abw/__init__.py,export_to_html,src/python/abw/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
abw,src/python/abw/__init__.py,get_metadata,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,export_to_json,src/python/abw/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
abw,src/python/abw/__init__.py,edit_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,export_to_csv,src/python/abw/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
abw,src/python/abw/__init__.py,get_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,search_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,get_word_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,search_replace_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,merge_abw,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,word_frequency,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,truncate_paragraphs,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,get_unique_words,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,append_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,split_paragraphs,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,get_char_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,join_paragraphs,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,replace_in_paragraphs,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,export_to_markdown,src/python/abw/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
abw,src/python/abw/__init__.py,get_paragraph_at,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,paragraph_lengths,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,reverse_paragraphs,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,word_wrap,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,has_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,first_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,last_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,count_words,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,paragraph_at,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,text_stats,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,export_to_plain_text,src/python/abw/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
abw,src/python/abw/__init__.py,search_text,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,get_words,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,longest_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,is_empty,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,average_paragraph_length,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,shortest_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,contains_text,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,count_paragraphs_matching,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,abw_sentence_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_longest_word,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_total_char_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_word_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_empty_paragraph_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_nonempty_paragraph_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_average_word_length,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_max_paragraph_length,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_unique_word_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_paragraph_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_shortest_word,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_has_sections,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_has_metadata,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_total_word_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_char_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,get_paragraphs,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,abw_min_paragraph_length,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_has_content,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_heading_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_vocabulary_richness,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_average_paragraph_length,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_is_empty,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_sentence_density,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_has_unicode,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_is_single_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_avg_words_per_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_char_density,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_longest_paragraph_length,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_words_per_sentence,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_paragraph_length_variance,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_is_multi_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_heading_density,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_is_content_rich,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_avg_chars_per_word,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_whitespace_ratio,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_avg_sentence_length,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_punctuation_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_median_paragraph_length,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_longest_paragraph_words,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_distinct_word_ratio,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_total_text_length,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_nonempty_paragraph_ratio,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_has_numeric_content,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_longest_paragraph_index,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_unique_char_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_nonspace_char_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_line_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_uppercase_ratio,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,parse_csv,src/python/csv/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
csv,src/python/csv/__init__.py,parse_csv_strict,src/python/csv/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
csv,src/python/csv/__init__.py,probe_csv,src/python/csv/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
csv,src/python/csv/__init__.py,get_capabilities,src/python/csv/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
csv,src/python/csv/__init__.py,get_row_count,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
csv,src/python/csv/__init__.py,get_column_names,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
csv,src/python/csv/__init__.py,get_cell_value,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
csv,src/python/csv/__init__.py,csv_column_count,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_has_header,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_numeric_row_count,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_total_cell_count,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,count_distinct_values,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
csv,src/python/csv/__init__.py,csv_duplicate_row_count,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_empty_cell_count,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_row_count,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_average_field_length,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_numeric_density,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_unique_row_count,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,CsvError,src/python/csv/__init__.py,,N/A_INFRASTRUCTURE,,LOW,YES,,PENDING,,
csv,src/python/csv/__init__.py,CsvInputError,src/python/csv/__init__.py,,N/A_INFRASTRUCTURE,,LOW,YES,,PENDING,,
csv,src/python/csv/__init__.py,CsvSizeError,src/python/csv/__init__.py,,N/A_INFRASTRUCTURE,,LOW,YES,,PENDING,,
csv,src/python/csv/__init__.py,CsvParseError,src/python/csv/__init__.py,,N/A_INFRASTRUCTURE,,LOW,YES,,PENDING,,
csv,src/python/csv/__init__.py,table_stats,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
csv,src/python/csv/__init__.py,column_value_counts,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
csv,src/python/csv/__init__.py,csv_row_length_distribution,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_field_type_summary,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_empty_row_count,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_max_field_length,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,write_csv,src/python/csv/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
csv,src/python/csv/__init__.py,write_csv_to_file,src/python/csv/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
csv,src/python/csv/__init__.py,parse_and_rewrite,src/python/csv/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
csv,src/python/csv/__init__.py,csv_min_field_length,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_has_duplicates,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_all_rows_same_length,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_max_row_length,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_field_type_ratio,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_all_rows,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_distinct_value_count,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
csv,src/python/csv/__init__.py,csv_empty_cell_ratio,src/python/csv/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
