source_plan,taskcard_id,definition_line,definition_text,occurrence_count,master_state,canonical_task_id,disposition
atomic-chasing-meteor.md,TC-G4H-003-02,642,### TC-G4H-003-02 — Update test_blocked_formats_not_passed to use dynamic set,9,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-003-03,680,### TC-G4H-003-03 — Add test_blocked_formats_derived_from_registry,6,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-004-06,926,### TC-G4H-004-06 — Add --mode flag to validate_gate4_evidence.py,11,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-004-02,813,### TC-G4H-004-02 — Implement probe_evidence_wrapper(),10,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-004-03,842,### TC-G4H-004-03 — Implement probe_standalone_prototype(),9,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-004-04,874,### TC-G4H-004-04 — Implement probe_source_track_equivalent(),9,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-004-05,901,### TC-G4H-004-05 — Implement run_all_probes(),9,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-004-07,959,### TC-G4H-004-07 — Create test_gate4_execution_probe.py + EVIDENCE_WRAPPER tests,9,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-004-08,992,"### TC-G4H-004-08 — Add STANDALONE_PROTOTYPE probe tests (XPM, PAM)",8,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-004-09,1020,### TC-G4H-004-09 — Add SOURCE_TRACK_EQUIVALENT probe test (ODS),8,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-004-10,1048,### TC-G4H-004-10 — Add negative control tests,7,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-004-02-03,863,(Similar command as TC-G4H-004-02-03 but for 'xpm'),1,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-006-04,1299,### TC-G4H-006-04 — Add check_completion_matrix to pre-commit hook,10,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-005-01,1100,### TC-G4H-005-01 — Add gate4-evidence-validator hook,17,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-005-02,1137,### TC-G4H-005-02 — Verify hook blocks malformed registry commit,8,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-006-01,1195,### TC-G4H-006-01 — INVESTIGATION: Read format-completion-matrix.yaml schema,16,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-006-02,1228,### TC-G4H-006-02 — Create check_completion_matrix.py,16,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-006-03,1261,### TC-G4H-006-03 — Add completion matrix governance test,9,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-007-01,1365,### TC-G4H-007-01 — Run test_gate4_contract.py,8,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-007-08,1464,### TC-G4H-007-08 — Create evidence bundle and terminal-closeout.yaml,9,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-007-02,1378,### TC-G4H-007-02 — Run test_gate4_governance.py,3,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-007-03,1391,### TC-G4H-007-03 — Run test_gate4_execution_probe.py,3,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-007-04,1404,### TC-G4H-007-04 — Run validator declaration mode,4,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-007-05,1418,### TC-G4H-007-05 — Run validator execute mode,3,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-007-06,1432,### TC-G4H-007-06 — Run full Gate 4 skill tests,3,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-007-07,1446,### TC-G4H-007-07 — Confirm pre-commit gate blocking (idempotency pilot),4,UNRECONCILED,,
atomic-chasing-meteor.md,TC-ID,1504,| TC-ID | Type | Status | Depends On | Wave |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PIPE-001,256,| TC-MA2-PIPE-001 | Make sprint prompt a view over next-work-items.json | — | PARENT | READY |,17,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-SIGNAL-001,69,### CORRECTION-001 — TC-MA2-SIGNAL-001 target file is wrong in original plan,20,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-SKIP-001,268,| TC-MA2-SKIP-001 | Machine-readable skip records for closeout failures | — | PARENT | READY |,16,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-VAL-001,273,| TC-MA2-VAL-001 | Enforce validator count at runtime | — | PARENT | READY |,12,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-LOCK-001,75,### CORRECTION-002 — TC-MA2-LOCK-001 post-write check already exists,16,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-VERIFY-001,282,"| TC-MA2-VERIFY-001 | End-to-end verification | PIPE,SIGNAL,SKIP,VAL,LOCK | PARENT | BLOCKED |",10,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-001,291,| TC-MA2-PILOT-001 | Pilot: both outputs agree on work selection | VERIFY | PARENT | BLOCKED |,5,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-FINAL-001,308,| TC-MA2-FINAL-001 | Independent review and closure gate | ALL PILOTS | PARENT | BLOCKED |,6,UNRECONCILED,,
bubbly-dancing-pony.md,TC-AMD-CONV-002,77,- **Confirmed from code**: `write_plan_lock.py` lines 474-485 already implement TC-AMD-CONV-002 post-write check,5,UNRECONCILED,,
bubbly-dancing-pony.md,TC-ID,254,| TC-ID | Title | Depends On | Type | Status |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PIPE-001-01,257,| TC-MA2-PIPE-001-01 | Inspect and record exact replacement site | — | CHILD | TODO |,8,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PIPE-001-02,258,| TC-MA2-PIPE-001-02 | Write test fixtures for NWI-sourced prompt | — | CHILD | TODO |,4,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PIPE-001-03,259,| TC-MA2-PIPE-001-03 | Replace lines 625-703 with NWI reader | 01 | CHILD | TODO |,6,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PIPE-001-04,260,| TC-MA2-PIPE-001-04 | Remove gap_fixtures dead code | 03 | CHILD | TODO |,5,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PIPE-001-05,261,"| TC-MA2-PIPE-001-05 | Run tests and inspect next-sprint.md output | 03,04 | CHILD | TODO |",4,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-SIGNAL-001-01,263,| TC-MA2-SIGNAL-001-01 | Investigate signal construction site in autonomous_cycle.py | — | CHILD | TODO |,6,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-SIGNAL-001-02,264,| TC-MA2-SIGNAL-001-02 | Add validate_signal_coherence() function | 01 | CHILD | TODO |,6,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-SIGNAL-001-03,265,| TC-MA2-SIGNAL-001-03 | Wire coherence check into signal write path | 02 | CHILD | TODO |,4,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-SIGNAL-001-04,266,| TC-MA2-SIGNAL-001-04 | Add read-time diagnostic in check_continuation.py | 02 | CHILD | TODO |,4,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-SIGNAL-001-05,267,| TC-MA2-SIGNAL-001-05 | Repair current incoherent disk state | 03 | CHILD | TODO |,3,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-SKIP-001-01,269,| TC-MA2-SKIP-001-01 | Create closeout_skip_ledger.py module | — | CHILD | TODO |,6,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-SKIP-001-02,270,| TC-MA2-SKIP-001-02 | Audit all try/except blocks in autonomous_cycle.py closeout | — | CHILD | TODO |,4,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-SKIP-001-03,271,"| TC-MA2-SKIP-001-03 | Wire skip ledger into priority closeout except blocks | 01,02 | CHILD | TODO |",3,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-SKIP-001-04,272,| TC-MA2-SKIP-001-04 | Surface outstanding skips in session-resume.md | 01 | CHILD | TODO |,4,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-VAL-001-01,274,| TC-MA2-VAL-001-01 | Confirm expected_count=167 matches actual validator sum | — | CHILD | TODO |,5,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-VAL-001-02,275,| TC-MA2-VAL-001-02 | Add count enforcement after ran_count=len(results) | 01 | CHILD | TODO |,3,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-VAL-001-03,276,| TC-MA2-VAL-001-03 | Update MEMORY.md validator count (165→167) | 01 | CHILD | TODO |,4,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-LOCK-001-01,278,| TC-MA2-LOCK-001-01 | Read and document current write sequence lines 427-469 | — | CHILD | TODO |,4,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-LOCK-001-02,279,| TC-MA2-LOCK-001-02 | Add _write_both_locks() helper function | 01 | CHILD | TODO |,4,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-LOCK-001-03,280,| TC-MA2-LOCK-001-03 | Replace sequential writes with _write_both_locks() call | 02 | CHILD | TODO |,4,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-LOCK-001-04,281,| TC-MA2-LOCK-001-04 | Add grouped-write tests | 03 | CHILD | TODO |,3,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-VERIFY-001-01,283,| TC-MA2-VERIFY-001-01 | Run pytest tests/supervisor/ and record results | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-VERIFY-001-02,284,| TC-MA2-VERIFY-001-02 | Inspect next-sprint.md task IDs vs next-work-items.json | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-VERIFY-001-03,285,| TC-MA2-VERIFY-001-03 | Check signal coherence on disk | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-VERIFY-001-04,286,| TC-MA2-VERIFY-001-04 | Run check_continuation.py and record verdict | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-VERIFY-001-05,287,| TC-MA2-VERIFY-001-05 | Run governance runner and check count output | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-VERIFY-001-06,288,| TC-MA2-VERIFY-001-06 | Read both lock files and compare status | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-VERIFY-001-07,289,| TC-MA2-VERIFY-001-07 | Check skip ledger exists and has content | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-VERIFY-001-08,290,| TC-MA2-VERIFY-001-08 | Write verify-ma2-results.yaml | all | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-001-01,292,| TC-MA2-PILOT-001-01 | Run autonomous_cycle and record timestamps | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-001-02,293,| TC-MA2-PILOT-001-02 | Assert next-sprint.md item_ids in next-work-items.json | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-001-03,294,| TC-MA2-PILOT-001-03 | Assert no fixture path in next-sprint.md | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-002,295,| TC-MA2-PILOT-002 | Pilot: signal incoherence corrected at write | VERIFY | PARENT | BLOCKED |,4,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-002-01,296,| TC-MA2-PILOT-002-01 | Write incoherent signal to disk | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-002-02,297,| TC-MA2-PILOT-002-02 | Run signal write path with incoherent fields | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-002-03,298,| TC-MA2-PILOT-002-03 | Assert corrected signal on disk | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-002-04,299,| TC-MA2-PILOT-002-04 | Run check_continuation.py and assert CONTINUE | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-003,300,| TC-MA2-PILOT-003 | Pilot: closeout failure produces skip record | VERIFY | PARENT | BLOCKED |,4,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-003-01,301,| TC-MA2-PILOT-003-01 | Create test mocking copy_cycle_summaries failure | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-003-02,302,| TC-MA2-PILOT-003-02 | Assert cycle exits 0 after mock failure | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-003-03,303,| TC-MA2-PILOT-003-03 | Assert skip visible in session-resume.md | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-004,304,| TC-MA2-PILOT-004 | Pilot: second full run zero material changes | ALL | PARENT | BLOCKED |,4,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-004-01,305,| TC-MA2-PILOT-004-01 | Hash key outputs after first run | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-004-02,306,| TC-MA2-PILOT-004-02 | Re-run same sequence | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-PILOT-004-03,307,| TC-MA2-PILOT-004-03 | Compare hashes (strip timestamps) | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-FINAL-001-01,309,| TC-MA2-FINAL-001-01 | Collect all counter values | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-FINAL-001-02,310,| TC-MA2-FINAL-001-02 | Verify all counters are zero | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-FINAL-001-03,311,| TC-MA2-FINAL-001-03 | Write final-report-ma2.md | — | CHILD | TODO |,2,UNRECONCILED,,
bubbly-dancing-pony.md,TC-MA2-FINAL-001-04,312,| TC-MA2-FINAL-001-04 | Write evidence declaration and run supervisor + --terminal | — | CHILD | TODO |,3,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-081,1121,#### TC-FF-AUDIT-081 [PARENT]: Product-Specific Healing (Priority Gaps),3,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-092,1194,#### TC-FF-AUDIT-092 [PARENT]: Final Report and Idempotency Verdict,3,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-060,907,#### TC-FF-AUDIT-060 [PARENT]: Fix SAL Extraction Pipeline for Non-ODF Formats,11,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-041,749,#### TC-FF-AUDIT-041 [PARENT]: Feature Proof Register,4,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-062,1000,#### TC-FF-AUDIT-062 [PARENT]: QName Fact-Reference Backfill,8,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-001,296,#### TC-FF-AUDIT-001 [PARENT]: Repository Status Recon and Forensic Baseline,5,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-002,343,#### TC-FF-AUDIT-002 [PARENT]: Complete Format Inventory (YAML),4,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-003,387,#### TC-FF-AUDIT-003 [PARENT]: Specification Source Inventory,4,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-004,426,#### TC-FF-AUDIT-004 [PARENT]: Specification Measurement Register,4,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-010,480,#### TC-FF-AUDIT-010 [PARENT]: Normalized Fact Register and SAL Authority Audit,6,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-001-A,307,##### TC-FF-AUDIT-001-A: Read Repository State Files,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-001-B,318,##### TC-FF-AUDIT-001-B: Read Spec and SAL Infrastructure,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-001-C,329,##### TC-FF-AUDIT-001-C: Write forensic-baseline.yaml,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-020,574,#### TC-FF-AUDIT-020 [PARENT]: QName Traceability Register,5,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-030,627,#### TC-FF-AUDIT-030 [PARENT]: Product Capability Register,4,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-002-A,354,##### TC-FF-AUDIT-002-A: Enumerate Formats from Registry,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-002-B,364,##### TC-FF-AUDIT-002-B: Classify Format States,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-002-C,374,##### TC-FF-AUDIT-002-C: Write format-inventory.yaml,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-003-A,397,##### TC-FF-AUDIT-003-A: Scan for On-Disk Spec Files,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-003-B,405,##### TC-FF-AUDIT-003-B: Resolve External Spec References,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-003-C,415,##### TC-FF-AUDIT-003-C: Write specification-source-inventory.yaml,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-004-A,436,##### TC-FF-AUDIT-004-A: Count ODF RelaxNG Schema Units,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-004-B,444,##### TC-FF-AUDIT-004-B: Count Units for Text/RFC Formats,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-004-C,455,##### TC-FF-AUDIT-004-C: Count Units for Binary/Image/XML Formats,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-004-D,465,##### TC-FF-AUDIT-004-D: Write specification-measurement-register.yaml,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-011,533,#### TC-FF-AUDIT-011 [PARENT]: Raw Spec Unit Register,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-010-A,491,##### TC-FF-AUDIT-010-A: Locate and Read SAL Facts Database,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-010-B,500,##### TC-FF-AUDIT-010-B: Classify SAL Facts by Provenance,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-LA-001,507,- MS-010-B-2: `PENDING` For CSV/TOML/ABW/DIF/GNUMERIC/SYLK/XCF/QOI facts (from TC-LA-001 merge): classify as MANUALLY_SEEDED,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-010-C,510,##### TC-FF-AUDIT-010-C: Investigate SAL Extraction Pipeline,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-010-D,520,##### TC-FF-AUDIT-010-D: Write normalized-fact-register.yaml and sal-authority-audit.yaml,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-011-A,543,##### TC-FF-AUDIT-011-A: Map ODF Spec Units to SAL Facts,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-011-B,551,##### TC-FF-AUDIT-011-B: Document Non-ODF Spec Unit Gaps,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-011-C,559,##### TC-FF-AUDIT-011-C: Write raw-spec-unit-register.yaml,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-020-A,585,##### TC-FF-AUDIT-020-A: Read QName Registry,3,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-020-B,593,##### TC-FF-AUDIT-020-B: Verify ODF QName → SAL Fact Traceability,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-020-C,602,##### TC-FF-AUDIT-020-C: Classify Non-ODF QNames,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-020-D,611,##### TC-FF-AUDIT-020-D: Write qname-traceability-register.yaml,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-031,666,#### TC-FF-AUDIT-031 [PARENT]: Feature Register,3,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-030-A,638,##### TC-FF-AUDIT-030-A: Read Capability Source Data,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-030-B,646,##### TC-FF-AUDIT-030-B: Classify Capability Derivation Method,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-030-C,655,##### TC-FF-AUDIT-030-C: Write capability-register.yaml,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-040,709,#### TC-FF-AUDIT-040 [PARENT]: Code Traceability Register,3,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-031-A,677,##### TC-FF-AUDIT-031-A: Run Feature Compiler Dry-Run,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-031-B,686,##### TC-FF-AUDIT-031-B: Map Capabilities to Features,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-031-C,694,##### TC-FF-AUDIT-031-C: Write feature-register.yaml,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-040-A,720,##### TC-FF-AUDIT-040-A: Analyze Python Source Per Format,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-040-B,729,##### TC-FF-AUDIT-040-B: Analyze .NET Source Per Format,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-040-C,738,##### TC-FF-AUDIT-040-C: Write code-traceability-register.yaml,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-050,791,#### TC-FF-AUDIT-050 [PARENT]: Pipeline Anomaly Register and Conversion Ratios,3,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-041-A,760,##### TC-FF-AUDIT-041-A: Count Tests Per Format,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-041-B,768,##### TC-FF-AUDIT-041-B: Assign Proof Levels from Oracle Results,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-041-C,777,##### TC-FF-AUDIT-041-C: Write feature-proof-register.yaml,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-051,829,#### TC-FF-AUDIT-051 [PARENT]: Root Cause Register,3,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-050-A,802,##### TC-FF-AUDIT-050-A: Compute Conversion Ratios Per Format,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-050-B,810,##### TC-FF-AUDIT-050-B: Write Pipeline Metrics Files,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-050-C,819,##### TC-FF-AUDIT-050-C: Verify and Mark VERIFIED,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-052,854,#### TC-FF-AUDIT-052 [PARENT]: Fix Option Register and Chosen Repair Strategies,5,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-051-A,838,##### TC-FF-AUDIT-051-A: Write root-cause-register.yaml,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-053,882,#### TC-FF-AUDIT-053 [PARENT]: Spec-to-Code Traceability Graph,3,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-061,969,#### TC-FF-AUDIT-061 [PARENT]: Fix Capability Feature Compiler,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-052-A,863,##### TC-FF-AUDIT-052-A: Write fix-option-register.yaml,2,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-052-B,872,##### TC-FF-AUDIT-052-B: Write chosen-repair-plan.md,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-053-A,890,##### TC-FF-AUDIT-053-A: Build Traceability Graph,1,UNRECONCILED,,
cheeky-crafting-manatee.md,TC-FF-AUDIT-070,1026,#### TC-FF-AUDIT-070 [PARENT]: ODF Pilot (FODS — Full Traceability Chain),3,UNRECONCILED,,
