parent_taskcard_id,child_taskcard_id,child_title
TC-ARC-015,TC-ARC-015-01,Define gate criteria as a check function
TC-ARC-015,TC-ARC-015-02,Wire into validator runner
TC-ARC-015,TC-ARC-015-03,Test: new format without QName plan blocked
TC-ARC-016,TC-ARC-016-01,Write promotion-registry.yaml (all 30 at DRAFT)
TC-ARC-016,TC-ARC-016-02,Implement promotion_manager.py
TC-ARC-016,TC-ARC-016-03,Wire V119 into ext4 validators
TC-ARC-016,TC-ARC-016-04,Set existing CERTIFIED products to REOPENED
TC-ARC-017,TC-ARC-017-01,Add traceability field requirements to skill schemas
TC-ARC-017,TC-ARC-017-02,Verify V122 and V123 correctly wired in ext4
TC-ARC-017,TC-ARC-017-03,Confirm TC-LA-005 provenance_chain alignment
TC-ARC-018,TC-ARC-018-01,Generate Wave 1 .NET FODS taskcards
TC-ARC-018,TC-ARC-018-02,Generate Wave 1 Python FODS taskcards
TC-ARC-018,TC-ARC-018-03,Write wave1-taskcards.yaml; update migration ledger
TC-ARC-018,TC-ARC-018-04,Confirm system healing gate check
