component_id,path,responsibility,loc,files,callers,classification,confidence,disposition
COMP-PROMPT-001,tools/supervisor/generate_next_worker_prompt.py,Sprint prompt and work item generation,1546,1,autonomous_cycle.py,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-PROMPT-002,tools/supervisor/generate_supervisor_packet.py,Supervisor decision packet,1437,1,CLI+skills,USEFUL_SHARED_INFRASTRUCTURE,MEDIUM,RETAIN
COMP-PROMPT-003,tools/supervisor/generate_mainstream_execution_packet.py,Mainstream acceleration packet,486,1,NONE_FOUND,SUSPECTED_GHOST,MEDIUM,INVESTIGATE
COMP-STATE-001,tools/supervisor/write_plan_lock.py,Plan lock creation and lifecycle,691,1,CLAUDE.md+CLI,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-STATE-002,tools/supervisor/continuation_*.py (5 files),Continuation state management,969,5,check_continuation.py,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-STATE-003,tools/supervisor/action_queue.py,Work item queue management,340,1,autonomous_cycle.py,USEFUL_SHARED_INFRASTRUCTURE,MEDIUM,RETAIN
COMP-AI-001,tools/supervisor/ai_*.py (6 files),AI integration modules,1367,6,NONE_FOUND,SUSPECTED_GHOST,MEDIUM,INVESTIGATE
COMP-AI-002,tools/supervisor/embedding_retrieval.py,Embedding search and retrieval,838,1,generate_next_worker_prompt.py,USEFUL_SHARED_INFRASTRUCTURE,MEDIUM,RETAIN
COMP-AI-003,tools/ai/ (43 files),AI pipeline infrastructure,4327,43,various,USEFUL_SHARED_INFRASTRUCTURE,MEDIUM,CHARACTERIZE
COMP-SPEC-001,tools/specification-authority-layer/ (24 files),SAL ingestion pipeline,5874,24,skills+CLI,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-SPEC-002,tools/spec-normalize/ (13 files),Specification normalization,4286,13,SAL pipeline,USEFUL_SHARED_INFRASTRUCTURE,MEDIUM,RETAIN
COMP-SPEC-003,tools/oracle/ (11 files),Oracle validation framework,3728,11,skills+CLI,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-CAP-001,tools/capability_layer/ (8 files),Capability mapping and compilation,4260,8,autonomous_cycle.py+skills,USEFUL_SHARED_INFRASTRUCTURE,HIGH,RETAIN
COMP-SKILL-001,tools/skills/ (25 files),Skill execution infrastructure,8304,25,skills+CLI,USEFUL_SHARED_INFRASTRUCTURE,HIGH,RETAIN
COMP-CERT-001,tools/certification/ (14 files),Assertion quality analysis,3009,14,skills+CLI,USEFUL_SHARED_INFRASTRUCTURE,MEDIUM,RETAIN
COMP-INFRA-001,tools/supervisor/control_index/ (16 files),SQLite+FTS5 control index,1662,16,CLI+autonomous_cycle.py,USEFUL_SHARED_INFRASTRUCTURE,HIGH,RETAIN
COMP-INFRA-002,tools/supervisor/concurrency/ (4 files),Concurrency primitives,995,4,autonomous_cycle.py,USEFUL_SHARED_INFRASTRUCTURE,HIGH,RETAIN
COMP-INFRA-003,tools/supervisor/lifecycle_audit.py,Post-plan lifecycle audit,808,1,CLAUDE.md+CLI,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-LEGACY-001,tools/supervisor/libforge_*.py (4 files),Libforge integration (code gen),1764,4,NONE_FOUND+low_reference,EXPERIMENTAL,MEDIUM,INVESTIGATE
COMP-LEGACY-002,tools/supervisor/migrate_command_sections.py,Command section migration,742,1,NONE_FOUND,DEPRECATED_STILL_ACTIVE,HIGH,QUARANTINE
COMP-LEGACY-003,tools/supervisor/build_proof_graph_iter001-003.py,Iterative proof graph builders,510,3,NONE_FOUND,DEPRECATED_STILL_ACTIVE,HIGH,QUARANTINE
