plan_count,path,plans
6,next-work-items.json,bubbly-dancing-pony.md | cheeky-crafting-manatee.md | fuzzy-conjuring-lobster.md | golden-foraging-boot.md | peppy-crafting-lark.md | shimmering-rolling-meerkat.md
6,plans/master-plan.md,fuzzy-conjuring-lobster.md | golden-foraging-boot.md | lively-leaping-elephant.md | modular-noodling-galaxy.md | splendid-roaming-beaver.md | vast-splashing-allen.md
6,reports/capability-layer/gap-ledger.json,bubbly-dancing-pony.md | clever-tickling-island.md | fizzy-imagining-hinton.md | kind-crunching-coral.md | peppy-crafting-lark.md | silly-popping-tower.md
6,tools/,effervescent-sprouting-marshmallow.md | fizzy-imagining-hinton.md | golden-foraging-boot.md | optimized-meandering-giraffe.md | spicy-sparking-gosling.md | twinkly-nibbling-platypus.md
5,.local/supervisor/active-plan-lock.json,cheeky-crafting-manatee.md | effervescent-sprouting-marshmallow.md | golden-foraging-boot.md | imperative-floating-book.md | vast-wibbling-moon.md
5,.local/supervisor/lifecycle-audit-results.json,fizzy-imagining-hinton.md | modular-noodling-galaxy.md | serialized-petting-crab.md | vast-wibbling-moon.md | velvet-swinging-wreath.md
5,capability_feature_compiler.py,bubbly-dancing-pony.md | clever-tickling-island.md | fuzzy-conjuring-lobster.md | peppy-crafting-lark.md | splendid-squishing-orbit.md
5,continuation-signal.json,bubbly-dancing-pony.md | clever-tickling-island.md | effervescent-sprouting-marshmallow.md | golden-foraging-boot.md | twinkly-nibbling-platypus.md
5,governance_validators_ext4.py,fuzzy-conjuring-lobster.md | kind-crunching-coral.md | memoized-frolicking-donut.md | mutable-exploring-hellman.md | velvet-swinging-wreath.md
5,src/python/fods,fizzy-imagining-hinton.md | golden-foraging-boot.md | mutable-exploring-hellman.md | shimmering-rolling-meerkat.md | vast-wibbling-moon.md
5,tools/oracle/execute_oracle.py,golden-foraging-boot.md | modular-noodling-galaxy.md | shiny-percolating-sky.md | splendid-squishing-orbit.md | vast-wibbling-moon.md
5,tools/supervisor/governance_validators.py,effervescent-sprouting-marshmallow.md | golden-foraging-boot.md | spicy-sparking-gosling.md | stateful-booping-mountain.md | vast-wibbling-moon.md
5,tools/supervisor/lifecycle_audit.py,golden-foraging-boot.md | iterative-mixing-shannon.md | stateful-booping-mountain.md | vast-wibbling-moon.md | velvet-swinging-wreath.md
4,.local/,effervescent-sprouting-marshmallow.md | fuzzy-conjuring-lobster.md | glowing-swinging-grove.md | shimmering-rolling-meerkat.md
4,.local/supervisor/next-work-items.json,bubbly-dancing-pony.md | humble-hatching-lark.md | vast-splashing-allen.md | vast-wibbling-moon.md
4,.py,fizzy-imagining-hinton.md | kind-crunching-coral.md | lively-leaping-elephant.md | spicy-sparking-gosling.md
4,.supervisor/,clever-tickling-island.md | golden-foraging-boot.md | vast-wibbling-moon.md | wild-napping-cherny.md
4,.supervisor/policies.yaml,peppy-crafting-lark.md | silly-popping-tower.md | vast-wibbling-moon.md | velvet-swinging-wreath.md
4,.supervisor/schemas/evidence-declaration.schema.json,effervescent-sprouting-marshmallow.md | imperative-floating-book.md | lively-leaping-elephant.md | peppy-crafting-lark.md
4,CLAUDE.md,fizzy-imagining-hinton.md | glimmering-hopping-kazoo.md | mutable-exploring-hellman.md | stateful-booping-mountain.md
4,docs/code-quality/production-library-standard-v2.md,effervescent-sprouting-marshmallow.md | golden-foraging-boot.md | lively-leaping-elephant.md | optimized-meandering-giraffe.md
4,plans/strategic/spec-to-feature-radical-correction-plan.md,cheeky-crafting-manatee.md | effervescent-sprouting-marshmallow.md | fuzzy-conjuring-lobster.md | golden-foraging-boot.md
4,registry/python-qname-architecture.json,cheeky-crafting-manatee.md | effervescent-sprouting-marshmallow.md | elegant-napping-minsky.md | golden-foraging-boot.md
4,reports/,effervescent-sprouting-marshmallow.md | fizzy-imagining-hinton.md | optimized-meandering-giraffe.md | shimmering-rolling-meerkat.md
4,reports/supervisor/approval-gates.md,cheeky-crafting-manatee.md | effervescent-sprouting-marshmallow.md | vast-wibbling-moon.md | wild-napping-cherny.md
4,reports/supervisor/next-sprint.md,bubbly-dancing-pony.md | golden-foraging-boot.md | peppy-crafting-lark.md | vast-wibbling-moon.md
4,src/net/fods/FodsDocument.cs,effervescent-sprouting-marshmallow.md | fuzzy-conjuring-lobster.md | lively-leaping-elephant.md | splendid-squishing-orbit.md
4,tests/supervisor/,clever-tickling-island.md | glowing-swinging-grove.md | spicy-sparking-gosling.md | vast-wibbling-moon.md
4,tools/review/no_stub_scan.py,mutable-exploring-hellman.md | optimized-meandering-giraffe.md | twinkly-nibbling-platypus.md | vast-wibbling-moon.md
4,tools/supervisor/build_declaration_review_package.py,effervescent-sprouting-marshmallow.md | vast-splashing-allen.md | vast-wibbling-moon.md | wild-napping-cherny.md
4,tools/supervisor/supervisor_loop.py,lively-leaping-elephant.md | polymorphic-foraging-feather.md | vast-wibbling-moon.md | wild-napping-cherny.md
3,.claude/commands,fuzzy-conjuring-lobster.md | modular-noodling-galaxy.md | mutable-exploring-hellman.md
3,.claude/commands/,fuzzy-conjuring-lobster.md | modular-noodling-galaxy.md | mutable-exploring-hellman.md
3,.claude/commands/add-python-api.md,iterative-mixing-shannon.md | mutable-exploring-hellman.md | spicy-sparking-gosling.md
3,.governance/capabilities/registry.yaml,effervescent-sprouting-marshmallow.md | glimmering-hopping-kazoo.md | golden-foraging-boot.md
3,.local/evidences/<run_id>,lively-leaping-elephant.md | vast-splashing-allen.md | wild-napping-cherny.md
3,.local/evidences/<run_id>/evidence-declaration.yaml,lively-leaping-elephant.md | vast-splashing-allen.md | wild-napping-cherny.md
3,/add-python-api,golden-foraging-boot.md | imperative-coalescing-bengio.md | spicy-sparking-gosling.md
3,/format-feature-expansion,glowing-swinging-grove.md | golden-foraging-boot.md | imperative-coalescing-bengio.md
3,/qname-backfill,cheeky-crafting-manatee.md | effervescent-sprouting-marshmallow.md | fuzzy-conjuring-lobster.md
3,active-plan-lock.json,effervescent-sprouting-marshmallow.md | shimmering-rolling-meerkat.md | spicy-sparking-gosling.md
3,autonomous_task_generator.py,fizzy-imagining-hinton.md | humble-hatching-lark.md | splendid-squishing-orbit.md
3,docs/automation/supervisor-worker-contract.md,lively-leaping-elephant.md | peppy-crafting-lark.md | vast-wibbling-moon.md
3,fods_analytics.py,fizzy-imagining-hinton.md | fuzzy-conjuring-lobster.md | lively-leaping-elephant.md
3,format-registry.yaml,atomic-chasing-meteor.md | memoized-frolicking-donut.md | serialized-petting-crab.md
3,generate_next_worker_prompt.py,glittery-splashing-manatee.md | peppy-crafting-lark.md | serialized-petting-crab.md
3,lifecycle_audit.py,stateful-booping-mountain.md | velvet-swinging-wreath.md | wild-napping-cherny.md
3,models.py,fuzzy-conjuring-lobster.md | lively-leaping-elephant.md | peppy-crafting-lark.md
3,oracle/,golden-foraging-boot.md | modular-noodling-galaxy.md | vast-wibbling-moon.md
3,oracle/schemas/odf-1.3-relaxng/OpenDocument-v1.3-schema.rng,cheeky-crafting-manatee.md | modular-noodling-galaxy.md | vast-wibbling-moon.md
3,plans/layers/index.yaml,glittery-splashing-manatee.md | shimmering-rolling-meerkat.md | silly-popping-tower.md
3,reports/r90/product-code-change-ledger.json,cheeky-crafting-manatee.md | imperative-floating-book.md | shimmering-rolling-meerkat.md
3,reports/supervisor,golden-foraging-boot.md | vast-splashing-allen.md | vast-wibbling-moon.md
3,reports/supervisor/,golden-foraging-boot.md | vast-splashing-allen.md | vast-wibbling-moon.md
3,reports/supervisor/session-resume.md,bubbly-dancing-pony.md | cheeky-crafting-manatee.md | vast-wibbling-moon.md
3,source-structure-baseline.json,lively-leaping-elephant.md | mutable-exploring-hellman.md | twinkly-nibbling-platypus.md
3,src/net/fods,golden-foraging-boot.md | splendid-squishing-orbit.md | vast-wibbling-moon.md
3,src/net/fods/,golden-foraging-boot.md | splendid-squishing-orbit.md | vast-wibbling-moon.md
3,src/python/fods/,fizzy-imagining-hinton.md | golden-foraging-boot.md | vast-wibbling-moon.md
3,src/python/fods/__init__.py,elegant-napping-minsky.md | iterative-mixing-shannon.md | splendid-squishing-orbit.md
3,src/python/fods/models.py,fuzzy-conjuring-lobster.md | iterative-mixing-shannon.md | peppy-crafting-lark.md
3,src/python/{format},cheeky-crafting-manatee.md | effervescent-sprouting-marshmallow.md | elegant-napping-minsky.md
3,supervisor_loop.py,effervescent-sprouting-marshmallow.md | lively-leaping-elephant.md | optimized-meandering-giraffe.md
3,test_governance_validators.py,glittery-splashing-manatee.md | glowing-swinging-grove.md | lively-leaping-elephant.md
3,tests/python/fods,fizzy-imagining-hinton.md | peppy-crafting-lark.md | splendid-squishing-orbit.md
3,tests/python/{fmt},fizzy-imagining-hinton.md | modular-noodling-galaxy.md | playful-discovering-thunder.md
3,tools/capability_layer/capability_to_feature_compiler.py,cheeky-crafting-manatee.md | golden-foraging-boot.md | shimmering-rolling-meerkat.md
3,tools/spec/merge_sal_facts.py,cheeky-crafting-manatee.md | effervescent-sprouting-marshmallow.md | fuzzy-conjuring-lobster.md
3,tools/supervisor/generate_next_worker_prompt.py,glittery-splashing-manatee.md | peppy-crafting-lark.md | vast-wibbling-moon.md
3,tools/supervisor/governance_validators*.py,glowing-swinging-grove.md | golden-foraging-boot.md | imperative-floating-book.md
3,tools/supervisor/governance_validators_ext3.py,mutable-exploring-hellman.md | twinkly-nibbling-platypus.md | vast-wibbling-moon.md
3,tools/supervisor/governance_validators_oracle.py,modular-noodling-galaxy.md | shiny-percolating-sky.md | vast-wibbling-moon.md
2,.git/hooks,imperative-floating-book.md | mutable-exploring-hellman.md
2,.git/hooks/,imperative-floating-book.md | mutable-exploring-hellman.md
2,.git/hooks/pre-commit,glimmering-hopping-kazoo.md | mutable-exploring-hellman.md
2,.github/workflows/ci.yml,glowing-swinging-grove.md | imperative-floating-book.md
2,.governance/,fizzy-imagining-hinton.md | golden-foraging-boot.md
2,.governance/capabilities/parity-report.yaml,fizzy-imagining-hinton.md | glimmering-hopping-kazoo.md
2,.local/spec-cache/sal-facts-latest.json,cheeky-crafting-manatee.md | effervescent-sprouting-marshmallow.md
2,.local/supervisor,golden-foraging-boot.md | vast-wibbling-moon.md
2,.local/supervisor/,golden-foraging-boot.md | vast-wibbling-moon.md
2,.local/supervisor/plan-locks,vast-wibbling-moon.md | velvet-swinging-wreath.md
2,.local/supervisor/plan-locks/,vast-wibbling-moon.md | velvet-swinging-wreath.md
2,.md,fizzy-imagining-hinton.md | spicy-sparking-gosling.md
2,.pre-commit-config.yaml,atomic-chasing-meteor.md | playful-discovering-thunder.md
2,.supervisor/ad-hoc-execution-inventory.yaml,vast-wibbling-moon.md | wild-napping-cherny.md
2,.supervisor/schemas,iterative-mixing-shannon.md | stateful-booping-mountain.md
2,.supervisor/schemas/,iterative-mixing-shannon.md | stateful-booping-mountain.md
2,.supervisor/skill-quality-matrix.yaml,effervescent-sprouting-marshmallow.md | wild-napping-cherny.md
2,.supervisor/taskcards,effervescent-sprouting-marshmallow.md | wild-napping-cherny.md
2,.venv/Lib/site-packages,fizzy-imagining-hinton.md | imperative-coalescing-bengio.md
2,.venv/Lib/site-packages/,fizzy-imagining-hinton.md | imperative-coalescing-bengio.md
2,.venv/Scripts/pytest tests/supervisor/ -v,peppy-crafting-lark.md | splendid-roaming-beaver.md
2,.yaml,fizzy-imagining-hinton.md | spicy-sparking-gosling.md
2,//,splendid-squishing-orbit.md | twinkly-nibbling-platypus.md
2,/build-evidence-bundle,effervescent-sprouting-marshmallow.md | wild-napping-cherny.md
2,/product-source-task,imperative-coalescing-bengio.md | mutable-exploring-hellman.md
2,AGENTS.md,glimmering-hopping-kazoo.md | mutable-exploring-hellman.md
2,Users/prora/OneDrive/Documents/GitHub/format-factory,optimized-meandering-giraffe.md | vast-wibbling-moon.md
2,abw/word_document.py,fizzy-imagining-hinton.md | lively-leaping-elephant.md
2,autonomous_cycle_extensions/__init__.py,peppy-crafting-lark.md | serialized-petting-crab.md
2,cli.py,shimmering-rolling-meerkat.md | wild-napping-cherny.md
2,db.py,clever-tickling-island.md | silly-popping-tower.md
2,dif/interchange_document.py,fizzy-imagining-hinton.md | lively-leaping-elephant.md
2,docs/governance/codex-adapter.md,glimmering-hopping-kazoo.md | imperative-floating-book.md
2,docs/governance/skill-only-policy.yaml,glimmering-hopping-kazoo.md | imperative-floating-book.md
2,evidence-declaration.yaml,effervescent-sprouting-marshmallow.md | golden-foraging-boot.md
2,execute_oracle.py,clever-tickling-island.md | modular-noodling-galaxy.md
2,execution-handoff.yaml,cheeky-crafting-manatee.md | golden-foraging-boot.md
2,gate_executor.py,clever-tickling-island.md | shiny-percolating-sky.md
2,generate_supervisor_packet.py,bubbly-dancing-pony.md | glowing-swinging-grove.md
2,lane_selector.py,peppy-crafting-lark.md | serialized-petting-crab.md
2,ndjson/json_stream.py,fizzy-imagining-hinton.md | lively-leaping-elephant.md
2,no_stub_scan.py,mutable-exploring-hellman.md | shimmering-rolling-meerkat.md
2,oracle/formats/*,modular-noodling-galaxy.md | shiny-percolating-sky.md
2,oracle/formats/*/oracle-package.yaml,modular-noodling-galaxy.md | shiny-percolating-sky.md
2,oracle/formats/fodt/oracle-package.yaml,modular-noodling-galaxy.md | shiny-percolating-sky.md
2,oracle/formats/{format},cheeky-crafting-manatee.md | shiny-percolating-sky.md
2,oracle/registry/format-oracle-registry.yaml,modular-noodling-galaxy.md | shiny-percolating-sky.md
2,oracle/schemas,cheeky-crafting-manatee.md | modular-noodling-galaxy.md
2,oracle/schemas/,cheeky-crafting-manatee.md | modular-noodling-galaxy.md
2,plans/,golden-foraging-boot.md | silly-popping-tower.md
2,plans/.claude,effervescent-sprouting-marshmallow.md | stateful-booping-mountain.md
2,plans/.claude/,effervescent-sprouting-marshmallow.md | stateful-booping-mountain.md
2,plans/layers,glittery-splashing-manatee.md | shimmering-rolling-meerkat.md
2,plans/layers/,glittery-splashing-manatee.md | shimmering-rolling-meerkat.md
2,plans/layers/certification-audit-layer.md,glittery-splashing-manatee.md | precious-wandering-lighthouse.md
2,plans/layers/master.md,glittery-splashing-manatee.md | shimmering-rolling-meerkat.md
2,plans/layers/task-register.yaml,glittery-splashing-manatee.md | shimmering-rolling-meerkat.md
2,plans/strategic/snoopy-juggling-seal.md,golden-foraging-boot.md | shiny-percolating-sky.md
2,policies.yaml,memoized-frolicking-donut.md | peppy-crafting-lark.md
2,prefix-namespace-registry.yaml,effervescent-sprouting-marshmallow.md | fuzzy-conjuring-lobster.md
2,product-deepening-ledger.yaml,peppy-crafting-lark.md | serialized-petting-crab.md
2,promotion-ledger.yaml,memoized-frolicking-donut.md | mutable-exploring-hellman.md
2,qname_migration_planner.py,clever-tickling-island.md | effervescent-sprouting-marshmallow.md
2,registry/,golden-foraging-boot.md | optimized-meandering-giraffe.md
2,registry/format-completion-matrix.yaml,atomic-chasing-meteor.md | effervescent-sprouting-marshmallow.md
2,registry/lane-scope-registry.yaml,elegant-napping-minsky.md | iterative-mixing-shannon.md
2,registry/odf-ontology/qname-to-code-map.yaml,effervescent-sprouting-marshmallow.md | fuzzy-conjuring-lobster.md
2,registry/product-deepening-ledger.yaml,cheeky-crafting-manatee.md | peppy-crafting-lark.md
2,registry/promotion-ledger.yaml,elegant-napping-minsky.md | mutable-exploring-hellman.md
2,registry/python-qname-structural-facts.json,elegant-napping-minsky.md | golden-foraging-boot.md
2,registry/repository-root-folders.yaml,playful-discovering-thunder.md | spicy-sparking-gosling.md
2,reports/capability-layer,effervescent-sprouting-marshmallow.md | fuzzy-conjuring-lobster.md
2,reports/product-quality,splendid-prancing-wind.md | splendid-squishing-orbit.md
2,reports/product-quality/,splendid-prancing-wind.md | splendid-squishing-orbit.md
2,reports/supervisor/next-work-items.json,cheeky-crafting-manatee.md | golden-foraging-boot.md
2,root-cause-register.yaml,golden-foraging-boot.md | optimized-meandering-giraffe.md
2,samples/by-format/fods,peppy-crafting-lark.md | vast-wibbling-moon.md
2,samples/by-format/fodt/minimal-document.fodt,golden-foraging-boot.md | peppy-crafting-lark.md
2,selected-product-gaps.json,bubbly-dancing-pony.md | vast-wibbling-moon.md
2,src/net/csv,effervescent-sprouting-marshmallow.md | modular-noodling-galaxy.md
2,src/net/csv/,effervescent-sprouting-marshmallow.md | modular-noodling-galaxy.md
2,src/net/fods/FodsDocumentCellProps.cs,optimized-meandering-giraffe.md | splendid-squishing-orbit.md
2,src/net/fods/FormatFactory.Fods.csproj,golden-foraging-boot.md | splendid-squishing-orbit.md
2,src/net/{format},cheeky-crafting-manatee.md | elegant-napping-minsky.md
2,src/net/{format}/,cheeky-crafting-manatee.md | elegant-napping-minsky.md
2,src/python/*,golden-foraging-boot.md | lively-leaping-elephant.md
2,src/python/csv,modular-noodling-galaxy.md | mutable-exploring-hellman.md
2,src/python/fods/parser.py,iterative-mixing-shannon.md | vast-wibbling-moon.md
2,src/python/fods/spreadsheet_document.py,fizzy-imagining-hinton.md | splendid-squishing-orbit.md
