platform,format,source_file_count,lines,classes,function_or_method_count,namespaces,current_scope,parser_load,object_model,edit_mutation,same_format_save,export_conversion,validation,qname_compliance,qname_red_flags,risk,recommendation
python,ndjson,3,1989,NdjsonError; NdjsonParseError,92,,"load/parse/probe, write/save, export/convert, validation-lite",yes,no/unclear,yes/partial,yes/partial,yes/partial,probe/strict/partial,MEDIUM-LOW,NdjsonError; NdjsonParseError,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,ods,6,2507,OdsCell; OdsCsvExportError; OdsDocument; OdsError; OdsInvalidContainerError; OdsRow; OdsSheet; OdsSizeError,106,,"load/parse/probe, object-model-lite, write/save, export/convert, validation-lite",yes,lite/partial,yes/partial,yes/partial,yes/partial,probe/strict/partial,LOW,OdsCell; OdsCsvExportError; OdsDocument; OdsError; OdsInvalidContainerError; OdsRow; OdsSheet; OdsSizeError,HIGH,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,odt,3,998,OdtDocument; OdtError; OdtHeading; OdtInvalidContainerError; OdtListItem; OdtParagraph; OdtSizeError,64,,"load/parse/probe, object-model-lite, validation-lite",yes,lite/partial,no/unclear,no/unclear,no/unclear,probe/strict/partial,LOW,OdtDocument; OdtError; OdtHeading; OdtInvalidContainerError; OdtListItem; OdtParagraph; OdtSizeError,HIGH,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,pbm,5,1519,PbmDecodeError; PbmError; PbmImage; PbmInvalidHeaderError; PbmInvalidMagicError; PbmSizeError,75,,"load/parse/probe, object-model-lite, write/save, export/convert, validation-lite",yes,lite/partial,yes/partial,yes/partial,yes/partial,probe/strict/partial,MEDIUM-LOW,PbmDecodeError; PbmError; PbmImage; PbmInvalidHeaderError; PbmInvalidMagicError; PbmSizeError,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,pgm,4,1483,PgmDecodeError; PgmError; PgmImage; PgmInvalidHeaderError; PgmInvalidMagicError; PgmSizeError,78,,"load/parse/probe, object-model-lite, write/save, export/convert, validation-lite",yes,lite/partial,yes/partial,yes/partial,yes/partial,probe/strict/partial,MEDIUM-LOW,PgmDecodeError; PgmError; PgmImage; PgmInvalidHeaderError; PgmInvalidMagicError; PgmSizeError,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,ppm,5,1694,PpmDecodeError; PpmError; PpmImage; PpmInvalidHeaderError; PpmInvalidMagicError; PpmSizeError,81,,"load/parse/probe, object-model-lite, write/save, export/convert, validation-lite",yes,lite/partial,yes/partial,yes/partial,yes/partial,probe/strict/partial,MEDIUM-LOW,PpmDecodeError; PpmError; PpmImage; PpmInvalidHeaderError; PpmInvalidMagicError; PpmSizeError,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,qoi,4,1414,QoiDecodeError; QoiEncodeError; QoiError; QoiImage; QoiInvalidHeaderError; QoiInvalidMagicError; QoiSizeError,75,,"load/parse/probe, object-model-lite, write/save, validation-lite",yes,lite/partial,no/unclear,yes/partial,no/unclear,probe/strict/partial,MEDIUM-LOW,QoiDecodeError; QoiEncodeError; QoiError; QoiImage; QoiInvalidHeaderError; QoiInvalidMagicError; QoiSizeError,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,sylk,3,1825,SylkCell; SylkDocument; SylkError; SylkInvalidFormatError; SylkParseError; SylkSizeError,91,,"load/parse/probe, object-model-lite, write/save, export/convert, validation-lite",yes,lite/partial,yes/partial,yes/partial,yes/partial,probe/strict/partial,LOW,SylkCell; SylkDocument; SylkError; SylkInvalidFormatError; SylkParseError; SylkSizeError,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,toml,3,1323,TomlError; TomlInputError; TomlParseError; TomlWriteError,74,,"load/parse/probe, write/save, export/convert, validation-lite",yes,no/unclear,yes/partial,yes/partial,yes/partial,probe/strict/partial,MEDIUM-LOW,TomlError; TomlInputError; TomlParseError; TomlWriteError,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,tsv,3,1831,TsvError; TsvInputError; TsvParseError; TsvSizeError,93,,"load/parse/probe, write/save, validation-lite",yes,no/unclear,yes/partial,yes/partial,no/unclear,probe/strict/partial,MEDIUM-LOW,TsvError; TsvInputError; TsvParseError; TsvSizeError,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,xcf,4,7040,XcfError; XcfImage; XcfInvalidHeaderError; XcfInvalidMagicError; XcfParseError; XcfSizeError,944,,"load/parse/probe, object-model-lite, export/convert, validation-lite",yes,lite/partial,no/unclear,no/unclear,yes/partial,probe/strict/partial,LOW,XcfError; XcfImage; XcfInvalidHeaderError; XcfInvalidMagicError; XcfParseError; XcfSizeError,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,zst,5,7202,ZstDecompressError; ZstDecompressionError; ZstError; ZstFileNotFoundError; ZstInvalidFrameError; ZstOutputLimitExceeded; ZstReadError,923,,"load/parse/probe, write/save, export/convert, validation-lite",yes,no/unclear,no/unclear,yes/partial,yes/partial,probe/strict/partial,MEDIUM-LOW,ZstDecompressError; ZstDecompressionError; ZstError; ZstFileNotFoundError; ZstInvalidFrameError; ZstOutputLimitExceeded; ZstReadError,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
